shipment_id,origin_country,destination_country,carrier,mode,weight_kg,volume_cbm,distance_km,num_items,is_hazardous,fuel_price_index,customs_declared_value_usd,value_density_usd_per_kg,promised_transit_days,ship_month,carrier_avg_delay_rate,carrier_shipment_count,lane_volume,is_delayed
SHP0002827,FR,TR,Expeditors,Rail,230.8,0.78,5428.5,446,0,110.8,4454.96,19.3,14,5,0.06552962298025135,3342,222,0
SHP0012986,NL,PL,DB Schenker,Rail,1338.7,8.31,1067.2,20,0,88.9,63418.84,47.37,12,5,0.18876941457586618,3348,225,1
SHP0006453,FR,TR,DHL-Freight,Air,85.6,0.43,4435.2,34,1,93.4,4760.46,55.61,6,2,0.2991150442477876,3390,222,0
SHP0004098,VN,GB,Expeditors,Rail,1133.2,3.4,7659.6,403,0,99.1,35269.57,31.12,15,5,0.06552962298025135,3342,227,0
SHP0016511,GB,US,MaerskX,Rail,1542.7,5.14,18239.6,57,0,103.3,12001.45,7.78,18,10,0.15361354702146962,3307,229,0
SHP0013823,GB,CN,Kuehne+Nagel,Sea,1465.2,3.98,14281.7,161,1,83.4,34928.82,23.84,32,1,0.11185006045949214,3308,194,0
SHP0016553,NL,DE,CMA-CGM,Sea,62.0,0.2,10149.6,366,0,86.0,2544.61,41.04,30,1,0.4322884012539185,3190,231,0
SHP0017690,FR,US,DB Schenker,Air,2055.6,6.13,10845.5,57,0,85.2,120547.58,58.64,7,2,0.18876941457586618,3348,201,0
SHP0009969,VN,TR,Kuehne+Nagel,Road,1708.9,8.34,3806.6,148,0,104.6,62969.9,36.85,8,10,0.11185006045949214,3308,224,0
SHP0011617,US,GB,Expeditors,Rail,823.6,2.35,17212.0,327,0,104.6,45978.68,55.83,17,5,0.06552962298025135,3342,226,1
SHP0000507,VN,IN,Kuehne+Nagel,Road,1503.6,4.84,8292.8,385,0,82.0,37424.16,24.89,8,10,0.11185006045949214,3308,203,0
SHP0000364,NL,IN,DHL-Freight,Air,2953.5,8.2,10001.8,418,0,100.1,61081.31,20.68,8,7,0.2991150442477876,3390,230,0
SHP0002804,US,TR,MaerskX,Sea,2096.9,10.86,17823.6,448,0,108.4,101964.18,48.63,35,1,0.15361354702146962,3307,204,0
SHP0013987,IN,US,CMA-CGM,Rail,1456.0,8.35,11870.8,216,0,112.8,56116.74,38.54,15,3,0.4322884012539185,3190,230,1
SHP0004803,DE,CN,DHL-Freight,Rail,1552.0,5.4,6850.7,107,0,105.9,26226.39,16.9,13,4,0.2991150442477876,3390,234,0
SHP0018362,PL,US,DHL-Freight,Rail,1128.1,3.36,16707.7,437,0,105.6,31803.75,28.19,16,6,0.2991150442477876,3390,245,1
SHP0014622,FR,NL,Kuehne+Nagel,Road,722.9,2.56,9042.8,70,0,96.9,29554.71,40.88,8,2,0.11185006045949214,3308,249,0
SHP0015498,GB,VN,DHL-Freight,Sea,1246.1,4.07,5841.1,470,0,96.7,56535.82,45.37,29,1,0.2991150442477876,3390,230,0
SHP0018468,VN,FR,MaerskX,Air,459.1,2.42,12662.4,409,0,99.1,12926.11,28.16,6,10,0.15361354702146962,3307,226,0
SHP0014718,VN,GB,CMA-CGM,Air,2545.5,7.47,7009.0,66,0,86.5,26037.09,10.23,7,6,0.4322884012539185,3190,227,1
SHP0003997,NL,GB,CMA-CGM,Rail,1408.7,6.04,4356.8,414,0,89.7,23535.25,16.71,13,11,0.4322884012539185,3190,222,0
SHP0018137,FR,DE,Kuehne+Nagel,Sea,331.6,0.89,5798.7,482,1,95.2,1686.57,5.09,29,6,0.11185006045949214,3308,253,0
