shipment_id,ship_date,origin_country,destination_country,carrier,mode,weight_kg,volume_cbm,distance_km,num_items,is_hazardous,fuel_price_index,customs_declared_value_usd,promised_transit_days,actual_transit_days,freight_cost_usd
SHP0002827,2024-05-08,FR,TR,Expeditors,Rail,230.8,0.78,5428.5,446,0,110.8,4454.96,14,13,950.63
SHP0012986,2025-05-30,NL,PL,DB Schenker,Rail,1338.7,8.31,1067.2,20,0,88.9,63418.84,12,18,2766.13
SHP0006453,2025-02-06,FR,TR,DHL-Freight,Air,85.6,0.43,4435.2,34,1,93.4,4760.46,6,6,1115.05
SHP0004098,2025-05-30,VN,GB,Expeditors,Rail,1133.2,3.4,7659.6,403,0,99.1,35269.57,15,13,3446.46
SHP0016511,2024-10-27,GB,US,MaerskX,Rail,1542.7,5.14,18239.6,57,0,103.3,12001.45,18,17,4539.28
SHP0013823,2025-01-03,GB,CN,Kuehne+Nagel,Sea,1465.2,3.98,14281.7,161,1,83.4,34928.82,32,32,4351.18
SHP0016553,2024-01-23,NL,DE,CMA-CGM,Sea,62.0,0.2,10149.6,366,0,86.0,2544.61,30,29,1200.48
SHP0017690,2025-02-10,FR,US,DB Schenker,Air,2055.6,6.13,10845.5,57,0,85.2,120547.58,7,7,4563.36
SHP0009969,2024-10-16,VN,TR,Kuehne+Nagel,Road,1708.9,8.34,3806.6,148,0,104.6,62969.9,8,8,3640.93
SHP0011617,2024-05-08,US,GB,Expeditors,Rail,823.6,2.35,17212.0,327,0,104.6,45978.68,17,18,3415.24
SHP0000507,2024-10-02,VN,IN,Kuehne+Nagel,Road,1503.6,4.84,8292.8,385,0,82.0,37424.16,8,7,2421.72
SHP0000364,2024-07-06,NL,IN,DHL-Freight,Air,2953.5,8.2,10001.8,418,0,100.1,61081.31,8,8,6015.44
SHP0002804,2024-01-13,US,TR,MaerskX,Sea,2096.9,10.86,17823.6,448,0,108.4,101964.18,35,34,5727.26
SHP0013987,2025-03-19,IN,US,CMA-CGM,Rail,1456.0,8.35,11870.8,216,0,112.8,56116.74,15,19,4466.31
SHP0004803,2025-04-17,DE,CN,DHL-Freight,Rail,1552.0,5.4,6850.7,107,0,105.9,26226.39,13,13,3945.45
SHP0018362,2024-06-10,PL,US,DHL-Freight,Rail,1128.1,3.36,16707.7,437,0,105.6,31803.75,16,19,3353.25
SHP0014622,2025-02-13,FR,NL,Kuehne+Nagel,Road,722.9,2.56,9042.8,70,0,96.9,29554.71,8,7,2898.19
SHP0015498,2025-01-25,GB,VN,DHL-Freight,Sea,1246.1,4.07,5841.1,470,0,96.7,56535.82,29,27,2748.46
SHP0018468,2024-10-06,VN,FR,MaerskX,Air,459.1,2.42,12662.4,409,0,99.1,12926.11,6,6,1547.28
SHP0014718,2025-06-08,VN,GB,CMA-CGM,Air,2545.5,7.47,7009.0,66,0,86.5,26037.09,7,9,4500.19
SHP0003997,2024-11-21,NL,GB,CMA-CGM,Rail,1408.7,6.04,4356.8,414,0,89.7,23535.25,13,12,2483.04
SHP0018137,2024-06-16,FR,DE,Kuehne+Nagel,Sea,331.6,0.89,5798.7,482,1,95.2,1686.57,29,28,1018.58
SHP0018533,2024-08-04,VN,TR,Kuehne+Nagel,Rail,2088.1,6.07,13573.8,143,0,97.9,123324.06,15,13,5395.3
SHP0019810,2025-02-13,IN,US,Expeditors,Sea,634.2,1.72,6596.9,419,0,110.1,20179.28,28,28,2274.39
SHP0011757,2024-08-11,NL,VN,Kuehne+Nagel,Road,1291.2,3.35,7749.7,382,0,93.2,5919.49,7,6,3568.48
SHP0008306,2024-12-30,CN,IN,Expeditors,Sea,3972.0,20.59,6734.4,499,0,82.1,158436.65,29,27,4933.62
SHP0008659,2025-02-13,DE,NL,Kuehne+Nagel,Rail,2445.0,10.86,11444.1,253,0,118.8,27940.12,16,17,5252.83
SHP0002902,2025-01-26,NL,TR,Expeditors,Road,146.0,0.51,16408.5,78,0,120.2,7636.24,10,10,1259.76
SHP0005160,2024-08-27,CN,TR,Kuehne+Nagel,Sea,2699.5,14.41,9824.8,112,0,95.0,154267.47,31,31,5703.35
SHP0005829,2024-08-04,PL,FR,DB Schenker,Rail,4830.3,14.74,14136.7,404,0,127.1,222579.35,15,15,9008.03
SHP0001583,2024-06-28,TR,FR,DB Schenker,Road,2807.2,8.01,18503.5,94,0,89.6,113010.53,12,12,6567.49
SHP0015276,2025-03-01,TR,IN,Kuehne+Nagel,Rail,636.6,3.06,11821.9,375,1,90.6,31867.03,14,15,1715.45
SHP0013108,2024-01-21,FR,US,DB Schenker,Sea,3844.3,23.22,13565.1,138,0,111.1,67424.6,33,40,8231.95
SHP0016654,2024-12-19,IN,CN,Expeditors,Sea,1106.7,4.12,8799.5,195,0,113.1,50782.11,30,29,2207.96
